frame,time_s,phase,board_x,board_y,board_z,gun_x,gun_y,gun_z,nozzle_x,nozzle_y,nozzle_z,robot_x,robot_y,robot_z,ground_target_x,ground_target_y,ground_column_index,ground_row,robot_yaw_deg,active_fastener_index,state,arm_pose,collision_active,contact_force_n,tool_pressure,nails_installed,board_grasped,tool_grasped,nailing_reference_time_s,nailing_reference_frame,robot_label
60,2.0,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,align_to_drywall,board_approach,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
61,2.0333,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,align_to_drywall,board_approach,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
62,2.0667,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,align_to_drywall,board_approach,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
63,2.1,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,align_to_drywall,board_approach,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
64,2.1333,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,align_to_drywall,board_approach,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
65,2.1667,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,align_to_drywall,board_approach,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
66,2.2,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,align_to_drywall,board_approach,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
67,2.2333,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,align_to_drywall,board_approach,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
68,2.2667,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,align_to_drywall,board_approach,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
69,2.3,board_handling,-2.8,-2.55,1.3,-5.0,-4.0,-2.0,-5.0,-3.84,-2.25,-2.8,-2.9,0.04,-1.7999999999999998,-0.32,-1,none,90.0,-1,align_to_drywall,board_approach,0,0.0,0.0,0,0,0,0.0,-1,AgiBot Genie G2 (official USD)
